Date,Open,High,Low,Close,Weighted,Volume
2013-08-22 03:08:00,165.75,167.38,105.77,116.95,119.568749,10452.7
2013-08-22 07:08:00,116.95,167.78,101.76,119.69,117.666667,3222.89
2013-08-22 11:08:00,116.49,145.03,102.16,102.16,120.013442,2053.43
2013-08-22 15:08:00,102.16,168.4,88.64,136.13,118.302931,17394.08
2013-08-22 19:08:00,136.13,171.46,103,120.68,116.156114,38965.73
2013-08-22 23:08:00,120.68,133.6,95.98,113.27,112.505263,59429.78
2013-08-23 03:08:00,113.27,149.09,105.39,120.7,117.922185,12411.31
2013-08-23 07:08:00,120.7,149.56,108.9,113.86,117.657249,10452.67
2013-08-23 11:08:00,113.86,158.55,106.1,158.55,118.810201,4425.68
2013-08-23 15:08:00,158.55,164.24,103.69,118.55,116.862252,14965.38
2013-08-23 19:08:00,118.55,132.19,103.05,114.75,116.042345,57849.43
2013-08-23 23:08:00,114.75,142.89,98.45,123.24,114.397723,44007.66
2013-08-24 03:08:00,123.24,161.25,100.91,107.57,110.855284,17381
2013-08-24 07:08:00,107.57,161.85,107.57,128.52,122.666165,4078.65
2013-08-24 11:08:00,128.52,161.64,110.54,110.54,124.7134,322.01
2013-08-24 15:08:00,110.54,162.66,106.48,118.29,116.818324,6732.24
2013-08-24 19:08:00,118.29,149.44,99.96,118.39,119.668358,22407.9
2013-08-24 23:08:00,118.39,162.9,97.22,118.29,111.227928,16289.33
2013-08-25 03:08:00,118.29,147.31,99.15,114.3,110.460399,12900.67
2013-08-25 07:08:00,114.3,165.75,111.67,127.4,125.94569,5449.67
2013-08-25 11:08:00,127.4,133.1,111.83,133.1,114.331201,1608.64
2013-08-25 15:08:00,133.1,164.52,107.66,151.22,129.380448,2196.88
2013-08-25 19:08:00,151.22,151.22,106.26,128.42,117.932353,11227.16
2013-08-25 23:08:00,128.42,140.79,102.55,115.8,121.263011,6523.95
2013-08-26 03:08:00,115.8,169.84,108.5,118.38,121.302129,9057.63
2013-08-26 07:08:00,118.38,169.54,101.47,119.46,121.837924,4600.6
2013-08-26 11:08:00,119.46,138.23,101.33,138.23,117.559845,4537.81
2013-08-26 15:08:00,138.23,169.12,100.85,116.88,119.505963,29859.76
2013-08-26 19:08:00,116.88,150.07,100.93,120.15,120.311359,65592.55
2013-08-26 23:08:00,120.15,173.51,102.72,119.33,119.71103,45747.57
2013-08-27 03:08:00,119.33,168.16,106.04,130.4,121.753648,12014.65
2013-08-27 07:08:00,130.4,172.44,107.87,122.83,125.964813,6479.63
2013-08-27 11:08:00,122.83,177.44,117.13,118.15,132.313681,1750.51
2013-08-27 15:08:00,118.15,177.44,107.18,130.23,124.211643,19138.53
2013-08-27 19:08:00,130.23,156.6,107.78,136.48,125.440841,51292.76
2013-08-27 23:08:00,136.48,185.66,107.75,126.62,125.257686,38950.13
2013-08-28 03:08:00,126.62,177.51,107.82,127.18,126.061462,15403.45
2013-08-28 07:08:00,127.18,154.98,116.87,153.05,127.581444,7879.43
2013-08-28 11:08:00,153.05,153.05,116.91,145.89,125.238666,1464.04
2013-08-28 15:08:00,145.89,177.62,114.45,115.37,128.591254,11850.97
2013-08-28 19:08:00,115.37,185.57,115.37,124.9,128.358838,54521.7
2013-08-28 23:08:00,124.9,179.16,108,126.84,127.69972,37359.83
2013-08-29 03:08:00,126.84,178.59,111.74,141.87,130.858512,10922.76
2013-08-29 07:08:00,141.87,177.2,117.43,155.4,131.975086,4237.72
2013-08-29 11:08:00,129.49,141.79,116.86,120.51,121.229122,2264.56
2013-08-29 15:08:00,120.51,164.22,115.15,128.17,126.984507,18441.96
2013-08-29 19:08:00,128.17,178.5,108.63,127.91,126.919533,52365.73
2013-08-29 23:08:00,127.91,158.18,104.76,120.13,126.522796,20619.42
2013-08-30 03:08:00,120.13,165.12,104.08,116.02,123.31219,12947.78
2013-08-30 07:08:00,116.02,178.38,115.71,115.75,125.43666,11387.14
2013-08-30 11:08:00,115.75,128.56,105.64,105.64,121.831136,572.85
2013-08-30 15:08:00,105.64,178.36,105.64,123.44,128.072267,15382.76
2013-08-30 19:08:00,123.44,187.12,111.86,132.45,128.13437,53467.91
